Load,Displacement,Accelerometer
-14.900067329406738,0.007278792094439269,0.3266221284866333
-14.95155143737793,0.007433671969920397,0.3970213532447815
-14.998187065124512,0.007513275835663079,0.3165867626667023
-14.755589485168455,0.007388966623693705,0.3232490420341492
-14.845295906066895,0.007614274509251119,0.3955332934856415
-14.78962516784668,0.007345533929765224,0.4360312819480896
-14.818402290344238,0.007309627253562213,0.4411331117153168
-14.854655265808105,0.007279243785887957,0.4454269409179688
-14.836189270019533,0.007166044320911169,0.4120005965232849
-14.77129077911377,0.007456482853740455,0.3276509344577789
-14.813861846923828,0.007703371345996856,0.3768301606178284
-14.927328109741213,0.006946082226932049,0.4264375269412993
-14.828485488891602,0.006864625494927168,0.34043917059898376
-14.779135704040527,0.007010886911302805,0.4259566962718964
-14.874892234802244,0.007358741015195846,0.3220157325267792
-14.947633743286133,0.007078064605593681,0.3578080832958221
-14.758038520812988,0.007203869521617889,0.2246093899011612
-14.7471923828125,0.007114986423403025,0.2304089814424515
-14.844346046447756,0.007529874797910452,0.2954880893230438
-14.952390670776367,0.0073714922182261935,0.2651968896389008
-15.050699234008787,0.006852469872683287,-0.017412222921848297
-14.893282890319824,0.006826670840382576,-0.0389503724873066
-14.858492851257324,0.007090615574270488,0.12506334483623505
-15.031967163085938,0.007314008194953203,0.15742093324661255
-15.023521423339846,0.007465386763215066,0.03846406564116478
-14.898428916931152,0.007232311181724071,-0.014178835786879063
-14.91102695465088,0.007253331597894429,-0.10758964717388153
-14.930797576904295,0.008081761188805103,-0.03416179120540619
-14.966442108154295,0.007476935628801584,-0.02014028467237949
-14.907455444335938,0.006790336687117815,0.029900101944804188
-14.947731971740724,0.006983873900026083,-0.1821885108947754
-14.861712455749512,0.007367203012108803,-0.19457006454467773
-14.998882293701172,0.007693860214203595,-0.20391799509525305
-14.887290000915527,0.007552887313067912,-0.2031291276216507
-14.850931167602539,0.0073063960298895845,-0.1515500396490097
-14.824063301086426,0.007308705244213342,-0.1146305650472641
-14.829205513000488,0.00782108958810568,-0.0272925402969122
-14.662567138671875,0.007604652084410191,-0.018600050359964367
-14.870136260986328,0.007006688509136438,-0.012114631943404676
-14.905421257019045,0.006823715753853321,-0.01193546038120985
-14.875941276550293,0.007149972021579742,-0.09960885345935824
-14.92839813232422,0.007181430235505105,-0.07117079198360443
-14.864206314086914,0.00792798213660717,-0.02177675999701023
-14.877270698547365,0.008186403661966324,0.03335970640182495
-14.971834182739258,0.008252942934632301,-0.033945947885513306
-14.911798477172852,0.008393838070333004,0.005818941164761782
-14.850214004516602,0.007567199878394605,-0.020931247621774673
-14.928424835205078,0.0076508549973368645,0.07658017426729202
-15.050745964050293,0.007176937069743872,0.003405291121453047
-14.95287799835205,0.007033567875623703,-0.004335524514317513
-15.026691436767578,0.007505218964070081,0.07218966633081436
-14.929736137390135,0.0073183365166187295,0.130022794008255
-14.89133071899414,0.007713715080171822,0.20435161888599399
-14.940006256103516,0.00791445467621088,0.2497189939022064
-15.112016677856445,0.007906215265393255,0.1298667937517166
-15.034958839416506,0.007463415153324605,0.2191269546747208
-15.01246738433838,0.007386905141174794,0.17746277153491974
-14.965044021606445,0.007146741729229689,0.27219876646995544
-15.02366828918457,0.007317595649510622,0.26694005727767944
-15.004616737365724,0.006584660150110722,0.06894057244062424
-14.957839965820312,0.006996829062700272,0.07705234736204147
-15.01605224609375,0.007286518346518278,0.2141159027814865
-15.007771492004395,0.007835295051336287,0.09040103852748872
-14.927901268005373,0.007981994189321995,0.09739574044942856
-14.741215705871582,0.007283663842827082,0.33752939105033875
-15.01809787750244,0.0071928934194147595,0.357746958732605
-14.99461269378662,0.0074996999464929095,0.33923351764678955
-14.90629768371582,0.007492598611861467,0.21306629478931427
-14.949256896972654,0.00733067002147436,0.11267761886119845
-14.90138339996338,0.007101635914295913,0.2392447292804718
-14.932488441467285,0.007300070021301508,0.3536991775035858
-14.985697746276855,0.0067652869038283825,0.3161746859550476
-14.908683776855467,0.0069556809030473215,0.30771979689598083
-14.821894645690918,0.00724040949717164,0.2993782758712769
-14.98974895477295,0.0075708115473389626,0.22385554015636444
-14.983022689819336,0.007870757021009922,0.15303625166416168
-15.02541446685791,0.0072580561973154545,0.09613250941038133
-14.963558197021484,0.007692133542150259,0.16774055361747742
-15.004925727844238,0.007504428271204233,0.08081119507551192
-15.0088529586792,0.007046582642942667,0.2383517324924469
-14.92572021484375,0.007536335382610558,0.2631244659423828
-14.995523452758787,0.00748052028939128,0.14778053760528564
-14.84890079498291,0.007812785916030407,0.19422684609889984
-14.83065700531006,0.0072466135025024405,0.2857440114021301
-14.817400932312012,0.00731408316642046,0.2434195727109909
-14.993605613708494,0.006896230392158032,0.2720889151096344
-14.83285140991211,0.007091365288943051,0.15022045373916626
-15.033090591430664,0.006885034963488579,0.20102915167808533
-15.108222007751465,0.007073276210576295,0.10860589891672134
-14.742473602294922,0.0074752094224095345,0.06468531489372252
-14.819697380065918,0.007585733663290739,0.12725228071212769
-15.050801277160645,0.007192099466919898,0.04544960707426071
-14.923635482788086,0.006811195053160191,0.054539576172828674
-14.846714973449707,0.007039629388600588,0.12547749280929565
-14.916959762573242,0.006749418564140797,0.1358657032251358
-14.996818542480467,0.007037896662950516,0.05327324941754341
-14.962099075317385,0.008390552364289759,0.11758947372436525
-14.99577522277832,0.007656677160412073,0.15640534460544586
-15.040553092956545,0.0071947742253541955,-0.14020183682441711
-15.036197662353516,0.007103435229510069,0.00030109490035101766
-15.034064292907715,0.007205798290669919,0.035590868443250656
